Unique Identifier,Description,Start Date,End Date,Reasonable Worst Case,Estimated Expected Loss,Probability,Crystallised to Date,Premium Agreed,Premiums to Date,Category,Type of Beneficiary,Sector of Beneficiary,Sector of Risk,Cross Sector Trigger,Reported As,Reporting Category,Notes,Status,Department,FYE,Group, el_lower , el_mid , el_upper ,prob_lower,prob_mid,prob_upper,Beneficiary,el_minus_sens,el_plus_sens, el_lower-1 , el_mid-1 , el_upper-1 , el_lower+1 , el_mid+1 , el_upper+1 ,Duration(Years),Future Duration(Years), Cashflow_lower , Cashflow_mid , Cashflow_upper , PAME 
838,Docking Station,2023-03-14,2028-03-12,"£3,567,436.00",£1m to £5m,> 50%,375550,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00047,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.95," £202,000.00 "," £606,000.00 "," £1,010,000.00 "," £2,675,577.00 "
839,"Peacock and Verity, Masham",2022-11-22,2027-11-21,"£712,415.00",< £1m,> 50%,71850,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00051,Ongoing,C,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.5,0.75,1,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5,4.64, £-   ," £108,000.00 "," £216,000.00 "," £534,311.25 "
840,Your Heritage Your Future (YHYF),2023-03-01,2028-02-28,"£2,287,795.00",£1m to £5m,> 50%,160408,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00052,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.91," £204,000.00 "," £611,000.00 "," £1,018,000.00 "," £1,715,846.25 "
841,Restoring the heritage of the iconic Crystal Palace Park for all,2023-03-14,2028-03-12,"£4,695,649.00",£1m to £5m,> 50%,304350,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00059,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.95," £202,000.00 "," £606,000.00 "," £1,010,000.00 "," £3,521,736.75 "
842,Tylorstown Welfare Hall and Institute,2023-03-16,2028-03-14,"£3,986,414.00",£1m to £5m,> 50%,286388,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00064,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.95," £202,000.00 "," £606,000.00 "," £1,010,000.00 "," £2,989,810.50 "
843,Quentin Blake Centre for Illustration,2022-11-29,2027-11-28,"£2,429,000.00",£1m to £5m,> 50%,171000,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00065,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.66," £215,000.00 "," £644,000.00 "," £1,073,000.00 "," £1,821,750.00 "
844,An inclusive and sustainable future for Weelsby Hall,2023-03-08,2028-03-06,"£2,318,000.00",£1m to £5m,> 50%,277000,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00066,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.93," £203,000.00 "," £609,000.00 "," £1,014,000.00 "," £1,738,500.00 "
845,"Exmoor Pioneers - Past, Present and Future",2023-03-14,2028-03-12,"£1,111,330.00",£1m to £5m,> 50%,60516,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00069,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Public,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.95," £202,000.00 "," £606,000.00 "," £1,010,000.00 "," £833,497.50 "
846,Broadfield Park Slopes,2023-03-08,2028-03-06,"£814,567.00",< £1m,> 50%,180786,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00072,Ongoing,C,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.5,0.75,1,Public,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5,4.93, £-   ," £101,000.00 "," £203,000.00 "," £610,925.25 "
847,Heart of the Park,2023-03-01,2028-02-28,"£807,897.00",< £1m,> 50%,123782,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00073,Ongoing,C,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.5,0.75,1,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5,4.91, £-   ," £102,000.00 "," £204,000.00 "," £605,922.75 "
848,Lighting Up the Lea,2023-03-14,2028-03-12,"£1,022,256.00",£1m to £5m,> 50%,148393,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00075,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.95," £202,000.00 "," £606,000.00 "," £1,010,000.00 "," £766,692.00 "
849,Silver City Heritage and Place Programme,2023-03-07,2028-03-05,"£1,138,090.00",£1m to £5m,> 50%,43175,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00083,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Public,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.93," £203,000.00 "," £609,000.00 "," £1,014,000.00 "," £853,567.50 "
850,Forres Conservation & Heritage Scheme,2023-03-07,2028-03-05,"£790,000.00",< £1m,> 50%,33000,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00084,Ongoing,C,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.5,0.75,1,Public,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5,4.93, £-   ," £101,000.00 "," £203,000.00 "," £592,500.00 "
851,Tarbert Heritage Regeneration Scheme,2023-03-07,2028-03-05,"£850,000.00",< £1m,> 50%,40000,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00085,Ongoing,C,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.5,0.75,1,Public,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5,4.93, £-   ," £101,000.00 "," £203,000.00 "," £637,500.00 "
852,"Linking and restoring the fragmented heritage of Granton Waterfront, Edinburgh",2023-03-07,2028-03-05,"£1,019,498.00",£1m to £5m,> 50%,26400,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00086,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Public,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.93," £203,000.00 "," £609,000.00 "," £1,014,000.00 "," £764,623.50 "
853,Buckhaven Heritage Regeneration,2023-03-07,2028-03-05,"£1,200,000.00",£1m to £5m,> 50%,85000,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00088,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Public,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.93," £203,000.00 "," £609,000.00 "," £1,014,000.00 "," £900,000.00 "
854,"Govan Heritage: remarkable past, bright future.",2023-03-07,2028-03-05,"£1,500,000.00",£1m to £5m,> 50%,43950,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00089,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Public,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.93," £203,000.00 "," £609,000.00 "," £1,014,000.00 "," £1,125,000.00 "
855,Rediscovering Airdrie: the heritage-led regeneration of Airdrie town centre,2023-03-07,2028-03-05,"£1,450,000.00",£1m to £5m,> 50%,100000,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00090,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Public,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.93," £203,000.00 "," £609,000.00 "," £1,014,000.00 "," £1,087,500.00 "
856,Girvan's Story,2023-03-07,2028-03-05,"£2,545,000.00",£1m to £5m,> 50%,85000,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00092,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Public,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.93," £203,000.00 "," £609,000.00 "," £1,014,000.00 "," £1,908,750.00 "
857,Our Heritage Our Future: Community Heritage and Climate Action,2023-03-07,2028-03-05,"£990,825.00",< £1m,> 50%,198165,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00096,Ongoing,C,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.5,0.75,1,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5,4.93, £-   ," £101,000.00 "," £203,000.00 "," £743,118.75 "
858,HERITAGE ENTERPRISE Canada House a home for Harmony Works,2023-03-08,2028-03-06,"£4,000,000.00",£1m to £5m,> 50%,251399,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00122,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.93," £203,000.00 "," £609,000.00 "," £1,014,000.00 "," £3,000,000.00 "
859,Bathgate Meadows Nature Park,2023-03-07,2028-03-05,"£2,601,309.00",£1m to £5m,> 50%,285611,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00123,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Public,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,4.93," £203,000.00 "," £609,000.00 "," £1,014,000.00 "," £1,950,981.75 "
860,Re-uniting Sydenham Hill Wood & Dulwich Wood,2023-03-14,2028-03-12,"£989,270.00",< £1m,> 50%,108365,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,NL-22-00124,Ongoing,C,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.5,0.75,1,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5,4.95, £-   ," £101,000.00 "," £202,000.00 "," £741,952.50 "
861,Cardiff Market Restoration Project,2019-09-04,2024-09-02,"£1,537,600.00",£1m to £5m,> 50%,124400,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,OL-18-07277,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Public,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,1.42," £704,000.00 "," £2,113,000.00 "," £3,521,000.00 "," £1,153,200.00 "
862,"Longford Park: People, Place and Nature",2019-11-28,2024-11-26,"£2,798,400.00",£1m to £5m,> 50%,120000,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,OL-18-07461,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Public,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,1.66," £602,000.00 "," £1,807,000.00 "," £3,012,000.00 "," £2,098,800.00 "
863,"'A Garden Fit for King' - Reawakening Brighton's Royal Estate, Phase 2",2019-11-27,2024-11-25,"£3,417,000.00",£1m to £5m,> 50%,214400,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,OL-18-08396,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,1.65," £606,000.00 "," £1,818,000.00 "," £3,030,000.00 "," £2,562,750.00 "
864,Divis and Black Mountain €“ A View to the Future,2020-03-03,2025-03-02,"£2,481,100.00",£1m to £5m,> 50%,360300,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,OL-19-00087,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,1.92," £521,000.00 "," £1,562,000.00 "," £2,604,000.00 "," £1,860,825.00 "
865,Chalkscapes - North Chilterns Community Landscape Initiative,2020-03-03,2025-03-02,"£2,357,500.00",£1m to £5m,> 50%,232600,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,OL-19-01477,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,1.92," £521,000.00 "," £1,562,000.00 "," £2,604,000.00 "," £1,768,125.00 "
866,HHA2019 Cairngorms 2030: people and nature thriving together,2021-06-29,2026-06-28,"£10,770,600.00",£10m to £50m,> 50%,1715500,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,OL-19-02745,Ongoing,C,2023,Core," £10,000,000.00 "," £30,000,000.00 "," £50,000,000.00 ",0.5,0.75,1,Public,£5m to £10m,£10m to £50m," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 "," £10,000,000.00 "," £30,000,000.00 "," £50,000,000.00 ",5,3.24," £3,086,000.00 "," £9,259,000.00 "," £15,432,000.00 "," £8,077,950.00 "
867,HHA2019 Plymouth Sound National Marine Park,2021-06-29,2026-06-28,"£8,660,600.00",£5m to £10m,> 50%,921500,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,OL-19-03781,Ongoing,C,2023,Core," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",0.5,0.75,1,Public,£1m to £5m,£5m to £10m," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 "," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",5,3.24," £1,543,000.00 "," £2,315,000.00 "," £3,086,000.00 "," £6,495,450.00 "
868,HHA2019 Great Yarmouth Winter Gardens- Reimagining the People's Palace,2021-06-29,2026-06-28,"£9,556,300.00",£5m to £10m,> 50%,420800,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,OL-19-03858,Ongoing,C,2023,Core," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",0.5,0.75,1,Public,£1m to £5m,£5m to £10m," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 "," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",5,3.24," £1,543,000.00 "," £2,315,000.00 "," £3,086,000.00 "," £7,167,225.00 "
869,HHA2019 International Slavery Museum: Igniting Ideas and Action,2021-06-29,2026-06-28,"£6,971,100.00",£5m to £10m,> 50%,2958900,No,0,Mixed - Mixed,Central Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,OL-19-04292,Ongoing,C,2023,Core," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",0.5,0.75,1,Public,£1m to £5m,£5m to £10m," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 "," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",5,3.24," £1,543,000.00 "," £2,315,000.00 "," £3,086,000.00 "," £5,228,325.00 "
870,Natur Am Byth! €“ Adfer rhywogaethau dan fygythiad yng Nghymru / Saving Wales€™ threatened species,2021-06-10,2026-06-09,"£4,065,100.00",£1m to £5m,> 50%,932700,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,OL-20-00041,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,3.19," £313,000.00 "," £940,000.00 "," £1,567,000.00 "," £3,048,825.00 "
871,"Discovery Point Transformed - A new centre for Antarctic heritage, environment and learning",2021-06-09,2026-06-08,"£2,555,400.00",£1m to £5m,> 50%,316500,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,OL-20-05900,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,3.19," £313,000.00 "," £940,000.00 "," £1,567,000.00 "," £1,916,550.00 "
872,Life on the Edge,2021-11-30,2026-11-29,"£2,092,400.00",£1m to £5m,> 50%,220900,No,0,Mixed - Mixed,Local Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,OL-20-06214,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Public,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",5,3.66," £273,000.00 "," £820,000.00 "," £1,366,000.00 "," £1,569,300.00 "
873,Climate FORTH  (Furthering Our Resilience Through Heritage),2021-11-24,2026-11-23,"£948,752.00",< £1m,> 50%,175670,No,0,Mixed - Mixed,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,OL-20-07147,Ongoing,C,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.5,0.75,1,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5,3.65, £-   ," £137,000.00 "," £274,000.00 "," £711,564.00 "
874,Championing National Parks For Everyone,2022-03-17,2027-03-16,"£490,984.00",< £1m,> 50%,56673,No,0,Guarantee - International Guarantee,Mixed outside Government,Section S,Section S,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,OL-20-08282,Ongoing,C,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.5,0.75,1,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5,3.96, £-   ," £126,000.00 "," £253,000.00 "," £368,238.00 "
875,Film Rights Awards  contingent liabilities,2023-03-31,2024-03-01,"£1,925,631.00",£1m to £5m,> 50%,0,No,0,Mixed - Mixed,Mixed outside Government,Section J,Section J,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,This liability relates to open award offers made through our status National Lottery Distributor that do not meet the accounting requirements to be reflected on the year end balance sheet. Being lottery funded these has no exposure for central govt,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.92,0.92," £1,087,000.00 "," £3,261,000.00 "," £5,435,000.00 "," £1,444,223.25 "
876,Grant awards that have not been notified to the grant recipients. ,2023-03-01,2023-04-01,"£4,407,634.12",£1m to £5m,> 50%,0,No,0,Uncertain Cost - Uncertain Cost,Mixed outside Government,Mixed,Mixed,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,There is no exposure to government as these grants are funded via the national lottery ,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.08,0, inf , inf , inf ," £3,305,725.59 "
877,Grant awards where certain criteria and performance conditions have to be met before the grant liability is recognised. ,2023-03-01,2025-06-01,"£2,767,303.30",£1m to £5m,> 50%,0,No,0,Uncertain Cost - Uncertain Cost,Mixed outside Government,Mixed,Mixed,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,There is no exposure to government as these grants are funded via the national lottery ,Ongoing,C,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",2.25,2.17," £461,000.00 "," £1,382,000.00 "," £2,304,000.00 "," £2,075,477.48 "
878,"Grants
Grant awards are recognised as expenditure, and if unpaid, as liabilitiesif a constructive obligation exists. For a constructive obligation to exist the award commitment must be communicated directly to the award recipient, and Sport England has the authority to commit the expenditure. Grant awards are only recognised in the year of funding as the Grant-in-Aid accounts cannot guarantee funding in future years. Grant awards which are funded from future years' funding are shown as contingent liabilities.",2022-04-01,2024-03-01,"£28,200,000.00",£10m to £50m,> 50%,0,No,0,Uncertain Cost - Uncertain Cost,Non-profit Institutions Serving Households,Section R,Section R,No Exposure to Listed Risks,Quantifiable,Non-remote ALB,"Please note that the status of these grants as at 31 March 2023 is subject to audit by the NAO.  
Further expanation on Contingent Liability: On the undertaking that funds are to be provided by DCMS, Sport England had entered into commitments to pay grants to award recipients in respect of their approved programmes. These commitments, have were not recognised in the
Statement of comprehensive net expenditure or the Statement of financial position ",Ongoing,C,2023,Core," £10,000,000.00 "," £30,000,000.00 "," £50,000,000.00 ",0.5,0.75,1,Private,£5m to £10m,£10m to £50m," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 "," £10,000,000.00 "," £30,000,000.00 "," £50,000,000.00 ",1.92,0.92," £10,870,000.00 "," £32,609,000.00 "," £54,348,000.00 "," £21,150,000.00 "
879,Agency staff ,2017-03-01,2050-03-01,"£5,000,000.00",£1m to £5m,> 50%,0,No,0,Legal Case or Other Dispute Process - Other Dispute Process,Central Government,Section N,Section N,No Exposure to Listed Risks,Unquantifiable,Non-remote Core,,Ongoing,B,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Public,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",33,26.92," £37,000.00 "," £111,000.00 "," £186,000.00 "," £3,750,000.00 "
880,Baglan- OR indemnities,2021-03-24,2023-03-31,£0.00,< £1m,< 1%,8000000,No,0,Indemnity - Appointment Indemnity,Individual or Household,Individual or Household,Section D,No Exposure to Listed Risks,Unquantifiable,Remote Core,,Ongoing,A,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",2.02,0,,#NAME?,#NAME?, £-   
881,FRC legal costs fund shortfall,2016-04-01,2023-03-31,£0.00,< £1m,1% to 5%,0,No,0,Uncertain Cost - Uncertain Cost,Central Government,UK Government,Section K,No Exposure to Listed Risks,Unquantifiable,Remote Core,"Unquantifiable, no claims at reporting date.  This is backed by a Comfort letter that we provide FRC each year.",Ongoing,A,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.01,0.025,0.05,Public,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",7,0,,#NAME?,#NAME?, £-   
